epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,7925.94,1.60638,2.02155,1.9569,0.73674,0.417,0.43917,0.21422,1.97116,2.55247,2.42928,0.0002378,0.0002378,0.0002378
91,8014.87,1.69319,2.05104,2.12479,0.56263,0.21277,0.25018,0.13268,2.03813,3.07388,2.53747,0.000218,0.000218,0.000218
92,8101.89,1.68146,1.99962,2.11132,0.48231,0.21824,0.28607,0.15341,2.04077,3.24526,2.5662,0.0001982,0.0001982,0.0001982
93,8193.59,1.7117,1.98195,2.13,0.65042,0.23769,0.32798,0.16334,2.13311,3.0195,2.61197,0.0001784,0.0001784,0.0001784
94,8287.15,1.69649,1.93794,2.13844,0.5405,0.21277,0.23937,0.13347,2.07419,3.47222,2.64894,0.0001586,0.0001586,0.0001586
95,8379.3,1.65965,1.92144,2.1007,0.69082,0.23404,0.32413,0.16193,2.11387,3.26913,2.63466,0.0001388,0.0001388,0.0001388
96,8469.2,1.67502,1.90668,2.11131,0.58828,0.21277,0.25032,0.14483,2.08605,3.09269,2.64068,0.000119,0.000119,0.000119
97,8556.29,1.67688,1.9035,2.11537,0.65642,0.21277,0.2562,0.14173,2.08874,2.92332,2.65585,9.92e-05,9.92e-05,9.92e-05
98,8647.35,1.66848,1.90409,2.12698,0.54061,0.21277,0.25453,0.14417,2.02171,2.86086,2.57611,7.94e-05,7.94e-05,7.94e-05
99,8739.73,1.69301,1.90818,2.10855,0.58933,0.24453,0.24536,0.12445,2.06887,3.05439,2.62218,5.96e-05,5.96e-05,5.96e-05
100,8826.66,1.64006,1.88696,2.09816,0.56494,0.21277,0.25853,0.14562,2.09081,3.26517,2.68218,3.98e-05,3.98e-05,3.98e-05
